month,year,full_time,part_time,grand_total,carrier
1,2016,3273,96,3369,9E
2,2016,3284,95,3379,9E
3,2016,3341,96,3437,9E
4,2016,3384,96,3480,9E
5,2016,3428,94,3522,9E
6,2016,3497,101,3598,9E
7,2016,3581,99,3680,9E
8,2016,3595,103,3698,9E
9,2016,3642,106,3748,9E
10,2016,3662,104,3766,9E
11,2016,3714,102,3816,9E
12,2016,3718,100,3818,9E
1,2017,3761,100,3861,9E
2,2017,3790,103,3893,9E
3,2017,3787,104,3891,9E
4,2017,3830,104,3934,9E
5,2017,3872,107,3979,9E
6,2017,3843,105,3948,9E
7,2017,3893,105,3998,9E
8,2017,3905,105,4010,9E
9,2017,3940,104,4044,9E
10,2017,4011,106,4117,9E
11,2017,4101,108,4209,9E
12,2017,4123,108,4231,9E
1,2018,4191,109,4300,9E
2,2018,4250,112,4362,9E
3,2018,4314,119,4433,9E
4,2018,4347,117,4464,9E
5,2018,4368,120,4488,9E
6,2018,4392,117,4509,9E
7,2018,4443,112,4555,9E
8,2018,4485,105,4590,9E
9,2018,4503,107,4610,9E
10,2018,4531,106,4637,9E
11,2018,4535,107,4642,9E
12,2018,4485,110,4595,9E
1,2019,4459,111,4570,9E
2,2019,4460,111,4571,9E
3,2019,4411,108,4519,9E
4,2019,4439,108,4547,9E
5,2019,4483,112,4595,9E
6,2019,4456,112,4568,9E
7,2019,4474,111,4585,9E
8,2019,4538,104,4642,9E
9,2019,4626,101,4727,9E
10,2019,4635,99,4734,9E
11,2019,4740,101,4841,9E
12,2019,4743,104,4847,9E
1,2020,4741,103,4844,9E
2,2020,4822,102,4924,9E
3,2020,4515,83,4598,9E
4,2020,4439,92,4531,9E
5,2020,3262,22,3284,9E
6,2020,3670,29,3699,9E
7,2020,4118,54,4172,9E
8,2020,4143,56,4199,9E
9,2020,4287,65,4352,9E
10,2020,4298,69,4367,9E
11,2020,4323,69,4392,9E
12,2020,4294,69,4363,9E
1,2021,4220,70,4290,9E
2,2021,4334,77,4411,9E
3,2021,4378,75,4453,9E
4,2021,4516,73,4589,9E
5,2021,4619,74,4693,9E
6,2021,4717,72,4789,9E
7,2021,4779,74,4853,9E
8,2021,4878,95,4973,9E
9,2021,4936,93,5029,9E
10,2021,4979,88,5067,9E
11,2021,5034,90,5124,9E
12,2021,4953,93,5046,9E
1,2022,4956,92,5048,9E
2,2022,4979,93,5072,9E
3,2022,4919,95,5014,9E
4,2022,4902,95,4997,9E
5,2022,4852,108,4960,9E
6,2022,4902,95,4997,9E
7,2022,4774,100,4874,9E
8,2022,4792,97,4889,9E
9,2022,4797,95,4892,9E
10,2022,4865,95,4960,9E
11,2022,4915,93,5008,9E
12,2022,4822,96,4918,9E
1,2023,4686,77,4763,9E
2,2023,4725,72,4797,9E
3,2023,4696,69,4765,9E
4,2023,4649,68,4717,9E
5,2023,4571,76,4647,9E
6,2023,4504,74,4578,9E
7,2023,4426,90,4516,9E
8,2023,4335,77,4412,9E
9,2023,4345,88,4433,9E
10,2023,4354,83,4437,9E
11,2023,4390,79,4469,9E
12,2023,4315,77,4392,9E
1,2024,4300,74,4374,9E
2,2024,4332,74,4406,9E
3,2024,4388,78,4466,9E
4,2024,4415,77,4492,9E
5,2024,4430,85,4515,9E
6,2024,4431,86,4517,9E
7,2024,4488,85,4573,9E
8,2024,4509,81,4590,9E
9,2024,4485,78,4563,9E
10,2024,4462,76,4538,9E
11,2024,4484,74,4558,9E
12,2024,4459,73,4532,9E
1,2025,4467,70,4537,9E
1,1990,68137,9039,77176,AA
2,1990,68725,9273,77998,AA
3,1990,69509,9376,78885,AA
4,1990,69713,9326,79039,AA
5,1990,70376,9309,79685,AA
6,1990,71258,9369,80627,AA
7,1990,72018,9651,81669,AA
8,1990,72513,9694,82207,AA
9,1990,72776,9788,82564,AA
10,1990,73111,9737,82848,AA
11,1990,73171,9492,82663,AA
12,1990,73726,9507,83233,AA
1,1991,73867,9426,83293,AA
2,1991,73490,9934,83424,AA
3,1991,73538,10192,83730,AA
4,1991,74075,10246,84321,AA
5,1991,74853,10427,85280,AA
6,1991,75683,10716,86399,AA
7,1991,76563,10876,87439,AA
8,1991,76887,11029,87916,AA
9,1991,82579,12560,95139,AA
10,1991,82722,12785,95507,AA
11,1991,83237,12293,95530,AA
12,1991,83561,12531,96092,AA
1,1992,83649,12361,96010,AA
2,1992,83428,12741,96169,AA
3,1992,83444,12644,96088,AA
4,1992,83514,12880,96394,AA
5,1992,83615,12747,96362,AA
6,1992,84149,12953,97102,AA
7,1992,84434,13174,97608,AA
8,1992,85148,13404,98552,AA
9,1992,85387,13333,98720,AA
10,1992,85203,13416,98619,AA
11,1992,85063,13025,98088,AA
12,1992,84716,13283,97999,AA
1,1993,84622,13396,98018,AA
2,1993,84654,13857,98511,AA
3,1993,84827,13815,98642,AA
4,1993,84687,13860,98547,AA
5,1993,84274,14185,98459,AA
6,1993,83730,14395,98125,AA
7,1993,83483,14463,97946,AA
8,1993,83306,14498,97804,AA
9,1993,82940,14170,97110,AA
10,1993,82694,13951,96645,AA
11,1993,84590,12831,97421,AA
12,1993,83047,12901,95948,AA
1,1994,81485,14034,95519,AA
2,1994,80886,14117,95003,AA
3,1994,80572,14065,94637,AA
4,1994,80584,13950,94534,AA
5,1994,79337,14725,94062,AA
6,1994,79144,14846,93990,AA
7,1994,78765,14915,93680,AA
8,1994,78786,14976,93762,AA
9,1994,78923,14224,93147,AA
10,1994,78678,14170,92848,AA
11,1994,78060,14472,92532,AA
12,1994,77822,14617,92439,AA
1,1995,78112,13883,91995,AA
2,1995,78095,13431,91526,AA
3,1995,78112,13313,91425,AA
4,1995,77802,13177,90979,AA
5,1995,78053,12799,90852,AA
6,1995,78276,12704,90980,AA
7,1995,78292,12779,91071,AA
8,1995,78335,12783,91118,AA
9,1995,78764,12519,91283,AA
10,1995,78680,12564,91244,AA
11,1995,79104,12806,91910,AA
12,1995,79349,13260,92609,AA
1,1996,79586,13466,93052,AA
2,1996,79807,13210,93017,AA
3,1996,79425,13231,92656,AA
4,1996,79172,13144,92316,AA
5,1996,78456,13576,92032,AA
6,1996,78446,13722,92168,AA
7,1996,71789,13722,85511,AA
8,1996,73716,12268,85984,AA
9,1996,72053,13607,85660,AA
10,1996,72122,13580,85702,AA
11,1996,72287,13553,85840,AA
12,1996,74303,12296,86599,AA
1,1997,72590,13635,86225,AA
2,1997,72365,13735,86100,AA
3,1997,72069,14177,86246,AA
4,1997,72053,14219,86272,AA
5,1997,73134,13374,86508,AA
6,1997,73736,13512,87248,AA
7,1997,73988,13882,87870,AA
8,1997,74977,13358,88335,AA
9,1997,73993,13800,87793,AA
10,1997,73889,13783,87672,AA
11,1997,73893,13817,87710,AA
12,1997,74735,13568,88303,AA
1,1998,73967,13732,87699,AA
2,1998,73534,13868,87402,AA
3,1998,73680,13889,87569,AA
4,1998,73721,13846,87567,AA
5,1998,73386,14233,87619,AA
6,1998,73754,14322,88076,AA
7,1998,74047,14443,88490,AA
8,1998,75472,13850,89322,AA
9,1998,74643,14435,89078,AA
10,1998,75109,14446,89555,AA
11,1998,75426,14497,89923,AA
12,1998,76343,14117,90460,AA
1,1999,75251,14720,89971,AA
2,1999,76231,14707,90938,AA
3,1999,76682,14590,91272,AA
4,1999,77024,14881,91905,AA
5,1999,77645,15042,92687,AA
6,1999,78217,15118,93335,AA
7,1999,78872,15447,94319,AA
8,1999,80007,14901,94908,AA
9,1999,80737,15502,96239,AA
10,1999,80987,15360,96347,AA
11,1999,81162,15281,96443,AA
12,1999,82264,14935,97199,AA
1,2000,81420,15474,96894,AA
2,2000,81769,15585,97354,AA
3,2000,82755,15541,98296,AA
4,2000,82701,15439,98140,AA
5,2000,83064,15459,98523,AA
6,2000,83605,15562,99167,AA
7,2000,83767,15529,99296,AA
8,2000,85140,14676,99816,AA
9,2000,84636,15143,99779,AA
10,2000,85069,15035,100104,AA
11,2000,85675,14995,100670,AA
12,2000,86683,14536,101219,AA
1,2001,86075,15133,101208,AA
2,2001,86275,15083,101358,AA
3,2001,87025,15183,102208,AA
4,2001,87286,15140,102426,AA
5,2001,87156,15162,102318,AA
6,2001,87286,15140,102426,AA
7,2001,88665,15177,103842,AA
8,2001,88665,14177,102842,AA
9,2001,84660,13279,97939,AA
10,2001,84016,12838,96854,AA
11,2001,78113,13298,91411,AA
12,2001,77692,13384,91076,AA
1,2002,90518,14972,105490,AA
2,2002,89655,14577,104232,AA
3,2002,88806,14575,103381,AA
4,2002,88586,14421,103007,AA
5,2002,91364,15014,106378,AA
6,2002,91332,15247,106579,AA
7,2002,90721,15817,106538,AA
8,2002,91839,15472,107311,AA
9,2002,91774,15295,107069,AA
10,2002,91521,15447,106968,AA
11,2002,88988,14826,103814,AA
12,2002,88256,13857,102113,AA
1,2003,87837,13777,101614,AA
2,2003,88256,13857,102113,AA
3,2003,83708,13686,97394,AA
4,2003,82511,13571,96082,AA
5,2003,81207,13372,94579,AA
6,2003,78935,13146,92081,AA
7,2003,76097,12299,88396,AA
8,2003,75801,12236,88037,AA
9,2003,74646,12037,86683,AA
10,2003,73599,11569,85168,AA
11,2003,73858,11611,85469,AA
12,2003,73858,11611,85469,AA
1,2004,73581,11254,84835,AA
2,2004,73618,11136,84754,AA
3,2004,73455,11186,84641,AA
4,2004,73520,11187,84707,AA
5,2004,73596,11149,84745,AA
6,2004,73480,11169,84649,AA
7,2004,74259,11145,85404,AA
8,2004,74245,11137,85382,AA
9,2004,73636,11060,84696,AA
10,2004,73209,10905,84114,AA
11,2004,73287,10986,84273,AA
12,2004,72260,11028,83288,AA
1,2005,71232,10990,82222,AA
2,2005,70592,10910,81502,AA
3,2005,70184,11007,81191,AA
4,2005,69892,11063,80955,AA
5,2005,70495,11136,81631,AA
6,2005,70306,11282,81588,AA
7,2005,74087,12814,86901,AA
8,2005,70200,11409,81609,AA
9,2005,69864,11192,81056,AA
10,2005,69571,11063,80634,AA
11,2005,69466,11111,80577,AA
12,2005,69130,11388,80518,AA
1,2006,69028,11337,80365,AA
2,2006,68982,11268,80250,AA
3,2006,68825,11204,80029,AA
4,2006,68792,10998,79790,AA
5,2006,68205,11252,79457,AA
6,2006,68069,10712,78781,AA
7,2006,67954,10691,78645,AA
8,2006,68037,10585,78622,AA
9,2006,67640,10543,78183,AA
10,2006,67438,10566,78004,AA
11,2006,67861,10566,78427,AA
12,2006,67768,10402,78170,AA
1,2007,67521,10345,77866,AA
2,2007,67384,10264,77648,AA
3,2007,67809,10739,78548,AA
4,2007,67813,10721,78534,AA
5,2007,67870,10710,78580,AA
6,2007,67606,10672,78278,AA
7,2007,67583,10643,78226,AA
8,2007,67812,10616,78428,AA
9,2007,67939,10514,78453,AA
10,2007,68004,10510,78514,AA
11,2007,67849,10873,78722,AA
12,2007,67747,10954,78701,AA
1,2008,67834,10898,78732,AA
2,2008,67738,10827,78565,AA
3,2008,67694,10799,78493,AA
4,2008,67679,10764,78443,AA
5,2008,67902,10732,78634,AA
6,2008,67787,10669,78456,AA
7,2008,67771,10667,78438,AA
8,2008,67187,10628,77815,AA
9,2008,65522,10179,75701,AA
10,2008,65326,10132,75458,AA
11,2008,65143,9990,75133,AA
12,2008,65134,9940,75074,AA
1,2009,64987,9917,74904,AA
2,2009,64979,9912,74891,AA
3,2009,64977,9913,74890,AA
4,2009,64975,9911,74886,AA
5,2009,63500,9832,73332,AA
6,2009,63404,9742,73146,AA
7,2009,63258,9664,72922,AA
8,2009,62959,9692,72651,AA
9,2009,62917,9604,72521,AA
10,2009,62027,9750,71777,AA
11,2009,61680,9666,71346,AA
12,2009,61855,9595,71450,AA
1,2010,61983,9300,71283,AA
2,2010,61906,9263,71169,AA
3,2010,61485,9363,70848,AA
4,2010,61209,9351,70560,AA
5,2010,61094,9342,70436,AA
6,2010,61291,9204,70495,AA
7,2010,61184,9161,70345,AA
8,2010,61133,9164,70297,AA
9,2010,60829,9083,69912,AA
10,2010,60766,9033,69799,AA
11,2010,60843,9036,69879,AA
12,2010,61229,8987,70216,AA
1,2011,61197,8966,70163,AA
2,2011,61571,8925,70496,AA
3,2011,61709,8983,70692,AA
4,2011,61911,8992,70903,AA
5,2011,61832,9038,70870,AA
6,2011,61977,9004,70981,AA
7,2011,62053,9016,71069,AA
8,2011,61831,8942,70773,AA
9,2011,61838,8909,70747,AA
10,2011,62019,8914,70933,AA
11,2011,61921,8872,70793,AA
12,2011,61684,8893,70577,AA
1,2012,61435,8865,70300,AA
2,2012,61016,8794,69810,AA
3,2012,61544,7851,69395,AA
4,2012,61383,7813,69196,AA
5,2012,61111,7738,68849,AA
6,2012,60743,7676,68419,AA
7,2012,60029,8390,68419,AA
8,2012,59655,8193,67848,AA
9,2012,59352,8089,67441,AA
10,2012,58761,7878,66639,AA
11,2012,57783,7347,65130,AA
12,2012,56024,7099,63123,AA
1,2013,55890,7072,62962,AA
2,2013,55959,7004,62963,AA
3,2013,55519,6973,62492,AA
4,2013,55597,6899,62496,AA
5,2013,55420,6915,62335,AA
6,2013,55735,6856,62591,AA
7,2013,55637,6837,62474,AA
8,2013,55726,6827,62553,AA
9,2013,55462,6828,62290,AA
10,2013,55838,6821,62659,AA
11,2013,56038,6847,62885,AA
12,2013,56017,6882,62899,AA
1,2014,56245,6881,63126,AA
2,2014,56242,6914,63156,AA
3,2014,56372,6926,63298,AA
4,2014,56435,6927,63362,AA
5,2014,56288,6918,63206,AA
6,2014,56391,6900,63291,AA
7,2014,56480,6964,63444,AA
8,2014,56174,6856,63030,AA
9,2014,56419,6819,63238,AA
10,2014,57043,6835,63878,AA
11,2014,57208,6812,64020,AA
12,2014,57308,6811,64119,AA
1,2015,57549,6900,64449,AA
2,2015,57891,7038,64929,AA
3,2015,58443,7294,65737,AA
4,2015,59068,7370,66438,AA
5,2015,59529,7390,66919,AA
6,2015,59905,7427,67332,AA
7,2015,90786,12080,102866,AA
8,2015,90620,12198,102818,AA
9,2015,90592,12215,102807,AA
10,2015,90810,12126,102936,AA
11,2015,91294,12133,103427,AA
12,2015,91242,12085,103327,AA
1,2016,91482,12054,103536,AA
2,2016,91407,11995,103402,AA
3,2016,91694,12058,103752,AA
4,2016,91917,12085,104002,AA
5,2016,92372,12112,104484,AA
6,2016,92653,12022,104675,AA
7,2016,92797,12022,104819,AA
8,2016,92938,11962,104900,AA
9,2016,93022,12030,105052,AA
10,2016,93065,12251,105316,AA
11,2016,93349,12154,105503,AA
12,2016,93435,12145,105580,AA
1,2017,93400,12179,105579,AA
2,2017,93721,12248,105969,AA
3,2017,94139,12312,106451,AA
4,2017,93896,12433,106329,AA
5,2017,94281,12494,106775,AA
6,2017,94110,12922,107032,AA
7,2017,94325,12982,107307,AA
8,2017,94123,13148,107271,AA
9,2017,94096,13165,107261,AA
10,2017,94144,13136,107280,AA
11,2017,94110,13115,107225,AA
12,2017,94080,13130,107210,AA
1,2018,94256,13151,107407,AA
2,2018,94303,13197,107500,AA
3,2018,94756,13303,108059,AA
4,2018,95457,12770,108227,AA
5,2018,96153,12750,108903,AA
6,2018,96543,12628,109171,AA
7,2018,96407,12538,108945,AA
8,2018,96005,12511,108516,AA
9,2018,95964,12450,108414,AA
10,2018,95915,12412,108327,AA
11,2018,95215,12358,107573,AA
12,2018,95249,12341,107590,AA
1,2019,94446,12353,106799,AA
2,2019,94466,12235,106701,AA
3,2019,94993,12279,107272,AA
4,2019,95373,12158,107531,AA
5,2019,95595,12178,107773,AA
6,2019,96045,12062,108107,AA
7,2019,95806,12012,107818,AA
8,2019,95061,11915,106976,AA
9,2019,95069,11912,106981,AA
10,2019,95541,11889,107430,AA
11,2019,95225,11899,107124,AA
12,2019,95518,11863,107381,AA
1,2020,95612,11840,107452,AA
2,2020,96021,11884,107905,AA
3,2020,97373,11735,109108,AA
4,2020,97083,11496,108579,AA
5,2020,96062,11284,107346,AA
6,2020,96061,11191,107252,AA
7,2020,95792,11236,107028,AA
8,2020,95312,11232,106544,AA
9,2020,95197,10973,106170,AA
10,2020,79281,11565,90846,AA
11,2020,78761,11613,90374,AA
12,2020,88418,12587,101005,AA
1,2021,87926,12483,100409,AA
2,2021,90255,11187,101442,AA
3,2021,90243,11060,101303,AA
4,2021,88211,10682,98893,AA
5,2021,86714,10951,97665,AA
6,2021,87718,11022,98740,AA
7,2021,88130,11023,99153,AA
8,2021,88345,10943,99288,AA
9,2021,86522,10968,97490,AA
10,2021,85979,11130,97109,AA
11,2021,86112,11414,97526,AA
12,2021,86324,11557,97881,AA
1,2022,87377,11823,99200,AA
2,2022,87999,12066,100065,AA
3,2022,89059,12453,101512,AA
4,2022,89379,12766,102145,AA
5,2022,90332,12814,103146,AA
6,2022,90598,12958,103556,AA
7,2022,90647,12944,103591,AA
8,2022,90399,12985,103384,AA
9,2022,90867,12861,103728,AA
10,2022,91114,12694,103808,AA
11,2022,91439,12625,104064,AA
12,2022,91293,12550,103843,AA
1,2023,92038,12507,104545,AA
2,2023,92443,12424,104867,AA
3,2023,93199,12553,105752,AA
4,2023,94248,12606,106854,AA
5,2023,95103,12709,107812,AA
6,2023,95655,12658,108313,AA
7,2023,95458,12509,107967,AA
8,2023,95286,12526,107812,AA
9,2023,95362,12601,107963,AA
10,2023,95722,12648,108370,AA
11,2023,95892,12535,108427,AA
12,2023,95285,12416,107701,AA
1,2024,95588,12370,107958,AA
2,2024,95654,12332,107986,AA
3,2024,95827,12306,108133,AA
4,2024,95864,12387,108251,AA
5,2024,96324,12373,108697,AA
6,2024,96543,12347,108890,AA
7,2024,96220,12266,108486,AA
8,2024,95149,12131,107280,AA
9,2024,95044,12247,107291,AA
10,2024,95921,12376,108297,AA
11,2024,95686,12357,108043,AA
12,2024,95328,12241,107569,AA
1,2025,94936,12216,107152,AA
1,1990,4993,714,5707,AS
2,1990,5010,751,5761,AS
3,1990,5066,760,5826,AS
4,1990,5110,802,5912,AS
5,1990,5277,779,6056,AS
6,1990,5512,782,6294,AS
7,1990,5522,780,6302,AS
8,1990,5532,779,6311,AS
9,1990,5277,856,6133,AS
10,1990,5348,853,6201,AS
11,1990,5276,820,6096,AS
12,1990,5308,818,6126,AS
1,1991,5230,793,6023,AS
2,1991,5271,786,6057,AS
3,1991,5311,780,6091,AS
4,1991,5366,795,6161,AS
5,1991,5565,821,6386,AS
6,1991,5806,838,6644,AS
7,1991,5910,797,6707,AS
8,1991,5895,822,6717,AS
9,1991,5767,795,6562,AS
10,1991,5753,820,6573,AS
11,1991,5723,823,6546,AS
12,1991,5775,828,6603,AS
1,1992,5697,821,6518,AS
2,1992,5710,822,6532,AS
3,1992,5710,860,6570,AS
4,1992,5830,890,6720,AS
5,1992,6073,879,6952,AS
6,1992,6207,946,7153,AS
7,1992,6249,924,7173,AS
8,1992,6177,930,7107,AS
9,1992,6051,877,6928,AS
10,1992,5993,884,6877,AS
11,1992,5854,879,6733,AS
12,1992,5729,882,6611,AS
1,1993,5729,882,6611,AS
2,1993,5417,886,6303,AS
3,1993,5534,847,6381,AS
4,1993,5470,859,6329,AS
5,1993,5757,923,6680,AS
6,1993,5966,869,6835,AS
7,1993,6009,871,6880,AS
8,1993,5868,862,6730,AS
9,1993,5688,812,6500,AS
10,1993,5407,790,6197,AS
11,1993,5410,819,6229,AS
12,1993,5424,806,6230,AS
1,1994,5444,804,6248,AS
2,1994,5577,730,6307,AS
3,1994,5624,744,6368,AS
4,1994,5671,752,6423,AS
5,1994,5897,841,6738,AS
6,1994,6077,875,6952,AS
7,1994,6131,888,7019,AS
8,1994,6162,839,7001,AS
9,1994,6041,830,6871,AS
10,1994,6076,841,6917,AS
11,1994,6074,843,6917,AS
12,1994,6077,847,6924,AS
1,1995,6072,831,6903,AS
2,1995,6091,809,6900,AS
3,1995,6091,868,6959,AS
4,1995,6075,851,6926,AS
5,1995,6300,927,7227,AS
6,1995,6358,1023,7381,AS
7,1995,6406,1044,7450,AS
8,1995,6407,993,7400,AS
9,1995,6403,972,7375,AS
10,1995,6415,946,7361,AS
11,1995,6475,930,7405,AS
12,1995,6515,953,7468,AS
1,1996,6524,971,7495,AS
2,1996,6630,908,7538,AS
3,1996,6695,894,7589,AS
4,1996,6685,949,7634,AS
5,1996,6837,979,7816,AS
6,1996,7081,1053,8134,AS
7,1996,7141,1051,8192,AS
8,1996,7153,1035,8188,AS
9,1996,7050,1043,8093,AS
10,1996,7076,1045,8121,AS
11,1996,7145,1059,8204,AS
12,1996,7219,1098,8317,AS
1,1997,7206,1061,8267,AS
2,1997,7253,1082,8335,AS
3,1997,7284,1088,8372,AS
4,1997,7314,1151,8465,AS
5,1997,7435,1194,8629,AS
6,1997,7435,1194,8629,AS
7,1997,7675,1231,8906,AS
8,1997,7637,1207,8844,AS
9,1997,7599,1195,8794,AS
10,1997,7496,1163,8659,AS
11,1997,7477,1188,8665,AS
12,1997,7426,1157,8583,AS
1,1998,7439,1176,8615,AS
2,1998,7548,1189,8737,AS
3,1998,7637,1188,8825,AS
4,1998,7698,1214,8912,AS
5,1998,7884,1284,9168,AS
6,1998,7997,1326,9323,AS
7,1998,8024,1373,9397,AS
8,1998,8018,1370,9388,AS
9,1998,7899,1377,9276,AS
10,1998,7911,1358,9269,AS
11,1998,7927,1345,9272,AS
12,1998,7946,1357,9303,AS
1,1999,7916,1326,9242,AS
2,1999,8027,1315,9342,AS
3,1999,8142,1301,9443,AS
4,1999,8283,1306,9589,AS
5,1999,8346,1308,9654,AS
6,1999,8441,1325,9766,AS
7,1999,8515,1299,9814,AS
8,1999,8519,1297,9816,AS
9,1999,8413,1308,9721,AS
10,1999,8354,1286,9640,AS
11,1999,8400,1258,9658,AS
12,1999,8387,1270,9657,AS
1,2000,8360,1241,9601,AS
2,2000,8372,1239,9611,AS
3,2000,8395,1218,9613,AS
4,2000,8460,1197,9657,AS
5,2000,8582,1185,9767,AS
6,2000,8704,1204,9908,AS
7,2000,8726,1178,9904,AS
8,2000,8821,1170,9991,AS
9,2000,8726,1178,9904,AS
10,2000,8917,1204,10121,AS
11,2000,9066,1214,10280,AS
12,2000,9112,1221,10333,AS
1,2001,9172,1203,10375,AS
2,2001,9317,1253,10570,AS
3,2001,9450,1227,10677,AS
4,2001,9494,1245,10739,AS
5,2001,9623,1308,10931,AS
6,2001,9680,1286,10966,AS
7,2001,9670,1309,10979,AS
8,2001,9620,1313,10933,AS
9,2001,9487,1339,10826,AS
10,2001,9408,1319,10727,AS
11,2001,9195,1362,10557,AS
12,2001,9179,1336,10515,AS
1,2002,9141,1323,10464,AS
2,2002,9161,1326,10487,AS
3,2002,9204,1336,10540,AS
4,2002,9359,1331,10690,AS
5,2002,9564,1309,10873,AS
6,2002,9621,1338,10959,AS
7,2002,9635,1354,10989,AS
8,2002,9659,1332,10991,AS
9,2002,9612,1341,10953,AS
10,2002,9508,1307,10815,AS
11,2002,9545,1307,10852,AS
12,2002,9521,1302,10823,AS
1,2003,9539,1265,10804,AS
2,2003,9496,1290,10786,AS
3,2003,9479,1291,10770,AS
4,2003,9477,1281,10758,AS
5,2003,9530,1313,10843,AS
6,2003,9589,1252,10841,AS
